songs.id,songs.title,songs.artist
1,Donde Iran,5A Estacion, La
2,Tu Peor Error,5A Estacion, La
3,Perdicion,5a Estacion, La
4,Me Muero,5a Estacion, La
5,La Pareja Ideal,A Solis-Marisela
6,Si Una Vez,A.B. Quintanilla
7,Todo Me Gusta De Ti,Aaron y Su Grupo Ilusion
8,El Diario De Daniela,Adrian Posse
9,Granada,Agustin Lara
10,Aquel Amor,Agustin Lara
11,Farolito,Agustin Lara
12,Veracruz,Agustin Lara
13,Mujer,Agustin Lara
14,Rival,Agustin Lara
15,Piensa En Mi,Agustin Lara
16,Solamente Una Vez,Agustin Lara
17,Arrancame la Vida,Agustin Lara
18,Aventurera,Agustin Lara
19,Noche De Ronda,Agustin Lara
20,Palabras De Mujer,Agustin Lara
21,La Cumbancha,Agustin Lara
22,Maria Bonita,Agustin Lara
23,Farolito,Agustin Lara
24,Veracruz,Agustin Lara
25,Solamente Una Vez,Agustin Lara
26,Amor De Mis Amores,Agustin Lara
27,Mujer,Agustin Lara
28,Noche De Ronda,Agustin Lara
29,La Cumbacha,Agustin Lara
30,Rosa,Agustin Lara
31,Escarcha,Agustin Lara
32,Aventurera,Agustin Lara
33,Santa,Agustin Lara
34,Colina Azul,Al Lewis
35,Si Te Vuelves a Enamorar,Alacarnes Musical
36,Y Volvere,Alain Barriere
37,Y Volvere,Alain Barriere
38,Prieta Casada,Albert Zamora
39,Costumbres,Alberto Aguilera
40,Mi Arbol y Yo,Alberto Cortez
41,No Soy De Aquí Ni Soy De Alla,Alberto Cortez
42,Mi Arbol y Yo,Alberto Cortez
43,Cuando Un Amigo Se Va,Alberto Cortez
44,En Un Rincon del Alma,Alberto Cortez
45,Castillos En el Aire,Alberto Cortez
46,Callejero,Alberto Cortez
47,En Un Rincon del Alma,Alberto Cortez
48,Mi Arbol y Yo,Alberto Cortez
49,Mariana,Alberto Cortez
50,Gracias a la Vida,Alberto Cortez
51,Los Ejes De Mi Carreta,Alberto Cortez
52,A Partir De Mañana,Alberto Cortez
53,Castillos En el Aire,Alberto Cortez
54,Cuando Un Amigo Se Va,Alberto Cortez
55,Distancia,Alberto Cortez
56,En Un Rincon del Alma,Alberto Cortez
57,Gracias a la Vida,Alberto Cortez
58,Mi Arbol y Yo,Alberto Cortez
59,No Soy De Aqui Ni Soy De Alla,Alberto Cortez
60,Perfidia,Alberto Dominguez
61,La Guaracha Sabrosona,Alberto Pedraza
62,El Pecador,Alberto Vazquez
63,Olvidalo,Alberto Vazquez
64,Para Decir Adios,Alberto Vazquez-Estela N
65,Si la Invitara Esta Noche,Alberto Vazquez-Lety Salli
66,Mala Hierba,Alejandra Guzman
67,Toda la Mitad,Alejandra Guzman
68,Volverte a Amar,Alejandra Guzman
69,Soy Solo Un Secreto,Alejandra Guzman
70,Mirala Miralo,Alejandra Guzman
71,Amigos Por Siempre,Alejandro Abaroa
72,Si He Sabido Amor,Alejandro Fernanado
73,Como Quien Pierde Una Estrella,Alejandro Fernandez
74,Que Bueno,Alejandro Fernandez
75,Que Seas Muy Feliz,Alejandro Fernandez
76,Ojo Por Ojo,Alejandro Fernandez
77,Nube Viajera,Alejandro Fernandez
78,Loco,Alejandro Fernandez
79,Que Sera De Mi,Alejandro Fernandez
80,Llorando Penas,Alejandro Fernandez
81,Me Dedique a Perderte,Alejandro Fernandez
82,Me Dediqué a Perderte,Alejandro Fernandez
83,Como Quien Pierde Una Estrella,Alejandro Fernandez
84,Me Dedique a Perderte,Alejandro Fernandez
85,Tantita Pena,Alejandro Fernandez
86,Si Tu No Vuelves,Alejandro Fernandez
87,En el Jardin,Alejandro Fernandez
88,Me Estoy Enamorando,Alejandro Fernandez
89,Que Voy A Hacer Con Mi Amor,Alejandro Fernandez
90,No Se Me Hace Facil,Alejandro Fernandez
91,Te Voy A Perder,Alejandro Fernandez
92,El Jardin De los Recuerdos,Alejandro Fernandez-Gloria E
93,En el Jardin,Alejandro Fernandez-Gloria Estefan
94,Vas a Acordarte De Mi,Alejandro Jaen
95,Mayonesa,Alejandro Jassa
96,Todo a Pulmon,Alejandro Lerner
97,No Hace Falta,Alejandro Lerner
98,Corazon Partio,Alejandro Sanz
99,Y Solo Se Me Ocurre Amarte,Alejandro Sanz
100,Aprendiz,Alejandro Sanz
101,Corazon Partio,Alejandro Sanz
102,A la Primera Persona,Alejandro Sanz
103,Te Lo Agradezco Pero No,Alejandro Sanz & Shakira
104,No Podras,Alejandro Zepeda
105,Triste Cancion De Amor,Alejandrolora
106,Bendito Tu Corazon,Aleks Syntek
107,Duele el Amor,Aleks Syntek  Ana Torroja
108,Triste Cancion,Alex Lora
109,Sexo Pudor y Lagrimas,Alex Sintek
110,Dame Tu Aire,Alex Ubago
111,Dame Tu Aire,Alex Ubago
112,Siempre En Mi Mente,Alex Ubago
113,Sin Miedo a Nada,Alex Ubago Natali
114,Tu Ausencia,Alicia Villa Real-David Bisbal
115,Solo Contigo,Alicia Villarreal
116,Duele el Amor,Alks Syntec
117,La Ventanita,Almanza Miguel
118,Dejenme Si Estoy Llorando,Alonso Curiet
119,Dejenme Si Estoy Llorando,Alonso Curiet Nelson Ned
120,Esa Chica Me Vacila,Alson Becket
121,Peleas,Altemar Dutra
122,La Mentira,Alvaro Carrillo
123,Un Poco Mas,Alvaro Carrillo
124,Sabor a Mi,Alvaro Carrillo
125,Paris,Amala Montero
126,Mi Buen Corazon,Amanda Miguel
127,Mi Buen Corazon,Amanda Miguel
128,Bandido,Ana Barbara
129,La Trampa,Ana Barbara
130,Me Gusta Pero Me Asusta,Ana Barbara
131,Loca,Ana Barbara
132,Mala,Ana Barbara
133,Nada,Ana Barbara
134,Te Regalo la Lluvia,Ana Barbara
135,Sacudeme,Ana Barbara
136,Los Besos No Se Dan En la Camisa,Ana Barbara
137,Como Me Haces Falta,Ana Barbara
138,Ya No Te Creo Nada,Ana Barbara
139,Soledad,Ana Barbara
140,Pecado Original,Ana Gabriel
141,Simplemente Amigos,Ana Gabriel
142,Mar y Arena,Ana Gabriel
143,Ahora,Ana Gabriel
144,No a Pedir Perdon,Ana Gabriel
145,A Pesar De Todos,Ana Gabriel
146,Ay Amor,Ana Gabriel
147,Con Un Mismo Corazon,Ana Gabriel
148,Es Damasiado Tarde,Ana Gabriel
149,Es el Amor Quien Llega,Ana Gabriel
150,Evidencias,Ana Gabriel
151,Hablame De Frente,Ana Gabriel
152,HuELO a Soledad,Ana Gabriel
153,Luna,Ana Gabriel
154,Mar y Arena,Ana Gabriel
155,Pacto De Amor,Ana Gabriel
156,Pecado Original,Ana Gabriel
157,Quien Como Tu,Ana Gabriel
158,Simplemente Amigos,Ana Gabriel
159,No Llores Por Mi Argentina,Andrew Lloyd
160,Love Colada,Andy Marver
161,Son De Amores,Andy y Lucas
162,Son De Amores,Andy-Luca
163,El Choclo,Angel Delfino
164,Quererte a Ti,Angela Carrasco
165,Como Te Voy a Olvidar,Angeles Azules
166,Como Te Voy a Olvidar,Angeles Azules, Los
167,El Liston De Tu PELO,Angeles Azules, Los
168,Dejenme Si Estoy Llorando,Angeles Negros, Los
169,Con Un Beso Pequeñisimo,Angelica Maria
170,Dont Go Breaking My Heart,Ann Orson
171,Olvidalo,Antoni Marcel
172,Tristes Recuerdos,Antonio Aguilar
173,Y Por Esa Calle Vive,Antonio Aguilar
174,Albur De Amor,Antonio Aguilar
175,Anillo Grabado,Antonio Aguilar
176,Bonita Finca De Adobe,Antonio Aguilar
177,Indita Mía,Antonio Aguilar
178,Mi Gusto Es,Antonio Aguilar
179,Te Ando Siguiendo los Pasos,Antonio Aguilar
180,Tristes Recuerdos,Antonio Aguilar
181,Y Por Esa Calle Vive,Antonio Aguilar
182,Albur De Amor,Antonio Aguilar
